C1,L1,C2,L2,C3,L3,Cost,,
16.4647696,10,10,10,15.64529359,14.96683741,847.557754,,
18.6821357,10,10,10,21.97255814,10,844.9318861,,
12.66185373,13.47623301,10,10,24.10059702,11.40464282,885.5642098,,
18.08493489,13.86250222,10,13.57792842,30.87158692,17.05405736,851.1872821,,
11.97327328,10,12.33191574,13.23665166,33.09527659,10.9160291,571.4492291,,
10,10,18.94292367,11.2905733,41.01890934,10,717.4181209,,33.1098186
10,10,12.69246042,10,40.95358628,10.74005902,756.8702356,,
16.94332075,10,20.4630152,10,47.58294266,10,633.0489295,,
17.41194344,17.18853045,26.5288502,18.07321095,43.24851757,10,713.3075956,,
26.11617517,14.48899543,25.98282003,26.89887166,45.23038679,15.00345492,591.8972648,,
29.11943281,21.49673855,20.63192356,27.39612746,48.53998595,20.59345961,428.4999925,,
33.68887413,23.48925292,27.03933465,25.83667827,40.41844857,17.98186457,541.8953927,,
35.82670093,15.7952221,34.36989987,18.89000958,32.5528363,14.12250161,632.5599868,,
31.55985892,13.59455812,28.36828661,24.43188256,33.59472215,14.17404401,653.6609147,,
39.110376,15.21560156,24.49154401,31.00625151,30.16125536,21.38616931,427.664394,,
47.23318851,21.35799539,21.18265295,28.88075805,22.47306961,20.13195765,456.8799378,,
55.73829305,16.74265236,17.21188337,21.41216528,22.41168296,25.4647857,433.6675785,,
51.07666421,11.20637125,15.40012199,22.26057053,28.42416561,26.79379451,362.8137586,,
43.69401693,16.05775887,11.24534106,20.0040077,27.9084149,19.74128532,618.9909738,,
40.91891819,16.73978883,10.89720803,12.43231082,19.47054797,12.39395899,825.0779367,,
45.13644296,21.36870009,10,10,25.9488638,17.57850593,951.6478928,,
46.22940665,17.78823268,18.25611079,17.21130776,28.08783537,18.72130936,561.0554509,,
39.71156687,10,25.99922228,25.18351102,33.15712672,24.13347608,439.3942384,,
36.3274613,12.50375414,32.78564453,26.65538716,24.55882829,16.71308476,633.6167366,,
33.25036997,20.14492667,38.3349998,33.05670643,19.36549872,10,891.8517455,,
29.28625119,28.28968394,37.05968666,27.92630309,19.78262943,17.53332305,744.56525,,
32.67234373,31.48970628,43.52971125,22.15843523,23.83881181,10,773.9606828,,
38.65135026,27.99150598,43.94101727,30.05283725,24.99864513,14.71140099,811.4767689,,
29.84213847,21.66864079,51.97920823,23.27640998,24.96122938,21.93329811,806.159711,,
24.64326638,22.05374807,47.65443373,14.87406462,29.99457914,28.62864757,686.3982285,,
17.10184413,16.91337818,53.76004052,14.73572165,28.75999695,31.36463594,801.7465754,,
19.82243019,17.84323245,61.34411526,23.12304717,36.44973677,32.59965265,873.7624241,,
22.67300469,20.16026086,53.18360591,19.27295017,33.61100638,27.84335041,789.5819376,,
17.03604525,27.44635934,61.99684477,25.50498986,39.86675036,20.7263577,881.5751224,,
17.5833382,31.26958221,70.17354286,27.55669951,44.89452648,17.63785142,916.9158798,,
20.52831358,38.72799438,71.29366124,32.84794152,53.16040802,10.89908987,966.3947011,,
19.79295594,38.30158967,73.92173684,39.01765633,51.77101302,18.31969792,951.0740217,,
15.02054381,46.76537317,71.3223083,42.58643842,58.18448377,13.76517504,969.2451624,,
10,51.22957963,79.95048118,48.63012481,55.18394911,17.06149942,955.8831853,,
10,48.9151299,76.56415045,47.29667532,57.49486959,19.0602451,943.6395538,,
15.69815886,53.62308478,80.37646854,43.16774392,55.36567736,16.32372725,975.504726,,
19.230317,58.09826899,84.47570896,40.40549833,62.59374893,22.05093229,968.4486801,,
27.11389792,53.59960258,90.3342886,48.63528377,62.66778541,26.76284289,966.6130614,,
32.68117464,61.89393592,85.86929303,53.3660267,54.00489938,33.98973858,971.0657147,,
33.03115678,70.25667632,92.83087212,56.16985351,57.94875622,26.27083617,990.8322589,,
25.7680577,63.03261679,91.9856528,51.55330026,51.96244228,26.89245635,979.3214119,,
27.37206161,70.52902728,89.5300529,44.09640622,52.25879741,22.22221655,992.4146266,,
23.48828626,76.78675073,91.42917275,39.14783251,54.85715306,27.4778077,979.8004051,,
32.12135363,79.47194451,92.35166383,33.2267279,49.19076121,19.05062562,994.8998133,,
32.82559335,72.04064894,92.18799758,29.00544751,55.36789501,14.84294939,986.3486616,,
32.8706094,70.11124802,87.29326117,30.23612869,52.91505778,10,983.1679353,,
27.16486579,63.79688919,81.33467698,34.28491676,61.08516729,10,989.5856678,,
20.20314348,64.48324716,81.37178373,43.07960224,66.87867653,10,997.9254509,,
20.95152807,56.79972953,84.93917751,40.91590929,75.54437673,18.13245559,970.5216318,,
17.69946176,63.37553507,91.06310487,37.89599621,68.25927335,12.13169634,996.454239,,
26.06069475,57.82023227,85.76099563,30.96528989,76.33893663,11.91462624,981.7663917,,
19.03737068,50.66943944,79.20183587,33.81087118,82.62872964,10,981.6016753,,
12.01481855,42.90964407,71.80860943,29.41857421,75.03591198,10,958.5427485,,
10,36.07460946,68.71293682,20.64062411,67.06127757,10,921.7718511,,
10,32.59779388,67.31685561,12.04652172,66.26828355,10,895.3767654,,
10,24.50637931,59.38511348,10,63.37843829,10,847.6781071,,
10,16.74956656,56.78111017,10,55.45492733,10,844.6179363,,
10,10,48.42901975,10,47.20068282,10,854.0205904,,
10,10,40.87037396,10,39.17082924,18.58894396,797.8290177,,
10,10,40.13540953,10,31.99000746,10.18369806,896.7242764,,
10,16.69647491,31.89157414,15.09083056,26.8783195,10,880.0999053,,
10,13.58045292,29.03351521,10,18.12671942,11.51794469,804.0626975,,
10,10.23073488,37.1163553,10,10.90261859,10,887.7960263,,
10,15.21081167,35.18411875,10,14.40323395,10,856.0244542,,
10,10,28.67028296,10,10,10,827.7582006,,
16.25370979,10,20.19822323,10,10,14.63948131,540.2115764,,
10,10.23171818,12.77670109,10,10,10,565.8306127,,
10,10,13.58618748,10,10,10,568.2034105,,
16.08946419,10,14.23515224,10,10,10.66844404,484.1816537,,
16.1985786,10,10,10,10,10,667.5481335,,
10,10,10,10.40834379,10,10,631.8496967,,
10,10,10,10,11.14608216,12.98421824,754.5086793,,
11.97026706,15.78306687,12.75285625,10,12.02666962,20.63420665,817.0449893,,
10,10,10.97588259,10,10,26.82433522,845.3034931,,
10,11.7921952,10,10,11.49871969,19.82043946,850.2429624,,
10,10,11.89244866,10,10,18.42937291,698.5522122,,
13.65143704,10,10,10,10,14.25819135,738.0952562,,
13.05396211,11.03296375,10,11.63730943,10,21.64142871,746.8262038,,
10.28921402,10.95747727,14.85211933,10,10,13.72566879,561.6673689,,
10,10,12.18373549,17.27637923,10,11.2941165,637.9150399,,
10,15.62885273,10,25.22898412,10,10.84752655,587.0920269,,
13.85587931,22.11193001,10.4118017,17.68897432,10,17.69817483,385.6657317,,
10.44430524,30.00195575,10,10,10,21.6546241,873.4753765,,
10,38.25028062,14.29495049,10.72992885,10,28.53507066,858.3439647,,
17.97631884,39.67307234,10,10,10,23.1874513,938.4935679,,
17.18468952,46.38755345,13.80982685,12.92386532,10,28.10016817,832.8318102,,
